#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-01-29T18:43:52 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5c509eb057ec	
#INFO	-out.max=unlimited	
#INFO	queryParameters=14	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:V/50&tab:{V/50/catalog}&key:source=V/50/catalog&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/50/catalog
#-order=I
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=B-V
#

#RESOURCE=yCat_5050
#Name: V/50
#Title: Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	V_50_catalog:
#Name: V/50/catalog
#Title: The main part of the Catalogue
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	RAJ2000	(A10)	?Hours RA, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	?Sign Dec, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	?Visual magnitude (1)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? B-V color in the UBV system	[ucd=phot.color;em.opt.B;em.opt.V]
_RAJ2000|_DEJ2000|RAJ2000|DEJ2000|Vmag|B-V
098.975000|-36.088889|06 35 54.0|-36 05 20| 6.35| 0.48
099.469583| +4.957222|06 37 52.7|+04 57 26| 6.15| 0.14
099.170417|-22.615000|06 36 40.9|-22 36 54| 6.35|-0.11
099.991667|+44.013889|06 39 58.0|+44 00 50| 6.41|
098.744167|-52.975556|06 34 58.6|-52 58 32| 4.39|-0.02
099.772083|+22.030833|06 39 05.3|+22 01 51| 6.04| 1.03
099.420417|-12.985000|06 37 40.9|-12 59 06| 6.12| 1.00
099.887917|+28.263056|06 39 33.1|+28 15 47| 6.03|-0.08
099.880833|+24.600000|06 39 31.4|+24 36 00| 6.38| 0.53
099.585417| -2.543611|06 38 20.5|-02 32 37| 6.14| 1.48
099.706250| +4.700556|06 38 49.5|+04 42 02| 6.57|-0.07
099.658750| +1.613611|06 38 38.1|+01 36 49| 6.21| 0.15
099.472500|-18.237500|06 37 53.4|-18 14 15| 4.43| 1.15
099.257917|-38.146667|06 37 01.9|-38 08 48| 6.04| 1.03
099.213750|-41.556944|06 36 51.3|-41 33 25| 6.34| 1.15
099.307500|-36.990556|06 37 13.8|-36 59 26| 5.71|-0.12
099.448333|-32.339722|06 37 47.6|-32 20 23| 5.27| 1.18
099.647500|-16.873611|06 38 35.4|-16 52 25| 6.03| 0.03
099.948333|+12.983056|06 39 47.6|+12 58 59| 5.97| 0.06
099.819583|-14.145833|06 39 16.7|-14 08 45| 4.82| 1.50
099.440417|-43.196111|06 37 45.7|-43 11 46| 3.17|-0.11
100.407083|+35.931944|06 41 37.7|+35 55 55| 6.46| 0.49
100.337500|+28.196389|06 41 21.0|+28 11 47| 6.42| 1.09
100.132500| +6.371667|06 40 31.8|+06 22 18| 6.51|-0.14
099.901250|-23.695556|06 39 36.3|-23 41 44| 6.05|-0.03
100.244583| +9.895556|06 40 58.7|+09 53 44| 4.66|-0.25
100.340833|+16.397500|06 41 21.8|+16 23 51| 6.28|-0.01
100.321667|+11.003333|06 41 17.2|+11 00 12| 6.11| 1.68
100.770833|+44.524444|06 43 05.0|+44 31 28| 5.02| 1.48
099.927917|-30.470278|06 39 42.7|-30 28 13| 5.71| 1.14
100.272500| +0.495278|06 41 05.4|+00 29 43| 5.79|-0.10
099.656667|-48.220278|06 38 37.6|-48 13 13| 4.93| 0.87
101.048333|+53.296389|06 44 11.6|+53 17 47| 6.27| 1.08
100.807500|+37.146944|06 43 13.8|+37 08 49| 6.19| 1.03
099.987083|-38.158889|06 39 56.9|-38 09 32| 6.58| 1.18
100.601250|+17.645278|06 42 24.3|+17 38 43| 5.21| 0.06
100.497083| +6.345000|06 41 59.3|+06 20 42| 6.37|-0.05
099.502500|-61.533056|06 38 00.6|-61 31 59| 6.18| 0.62
100.485000| -9.167222|06 41 56.4|-09 10 02| 5.19| 1.53
101.558750|+59.441667|06 46 14.1|+59 26 30| 4.87| 0.08
101.052500|+36.109722|06 44 12.6|+36 06 35| 6.31| 0.06
          |          |          |         |     |
100.982917|+25.131111|06 43 55.9|+25 07 52| 2.98| 1.40
100.777083| +3.033333|06 43 06.5|+03 02 00| 6.19| 1.37
100.308750|-40.349722|06 41 14.1|-40 20 59| 6.12|-0.14
100.205417|-47.674722|06 40 49.3|-47 40 29| 6.65| 1.58
101.706250|+57.169167|06 46 49.5|+57 10 09| 5.35| 0.96
100.997083|+13.227778|06 43 59.3|+13 13 40| 4.49| 1.16
100.911250| +3.932222|06 43 38.7|+03 55 56| 5.90|-0.02
101.189583|+28.970833|06 44 45.5|+28 58 15| 5.44| 1.45
100.690833|-22.449167|06 42 45.8|-22 26 57| 6.13| 0.34
100.568333|-38.398611|06 42 16.4|-38 23 55| 6.29| 0.34
101.684583|+43.577500|06 46 44.3|+43 34 39| 5.25| 0.56
101.322500|+12.895556|06 45 17.4|+12 53 44| 3.36| 0.43
102.053750|+55.704444|06 48 12.9|+55 42 16| 6.33|
102.051250|+55.704444|06 48 12.3|+55 42 16| 6.28| 0.47
101.915000|+48.789444|06 47 39.6|+48 47 22| 5.22| 1.12
100.847083|-39.193333|06 43 23.3|-39 11 36| 6.30| 0.26
101.475833|+12.693611|06 45 54.2|+12 41 37| 6.46|
102.737917|+67.571944|06 50 57.1|+67 34 19| 5.14|-0.17
101.287083|-16.716111|06 45 08.9|-16 42 58|-1.46| 0.00
101.118333|-31.070556|06 44 28.4|-31 04 14| 5.20|-0.12
101.216250|-27.341389|06 44 51.9|-27 20 29| 6.45| 0.54
101.635000| +8.587222|06 46 32.4|+08 35 14| 5.93|-0.17
101.347083|-23.461944|06 45 23.3|-23 27 43| 6.05| 1.20
          |          |          |         |     |
101.260000|-30.586111|06 45 02.4|-30 35 10| 6.54|-0.11
101.497083|-14.796111|06 45 59.3|-14 47 46| 5.32| 0.07
101.847917|+18.193333|06 47 23.5|+18 11 36| 6.20| 0.07
101.345000|-31.793611|06 45 22.8|-31 47 37| 5.92| 0.48
101.380417|-30.948889|06 45 31.3|-30 56 56| 5.80|-0.19
101.662500|-10.107222|06 46 39.0|-10 06 26| 5.66|-0.05
101.832500| +8.037222|06 47 19.8|+08 02 14| 4.77| 1.40
101.712917|-14.425833|06 46 51.1|-14 25 33| 5.29|-0.04
100.240833|-71.775556|06 40 57.8|-71 46 32| 6.51| 1.11
101.965000| +2.412222|06 47 51.6|+02 24 44| 4.47| 1.11
101.513750|-39.540000|06 46 03.3|-39 32 24| 6.62|-0.13
101.904583| -8.998333|06 47 37.1|-08 59 54| 5.07| 1.80
101.756250|-21.015556|06 47 01.5|-21 00 56| 6.08|-0.19
101.550417|-37.775556|06 46 12.1|-37 46 32| 6.21|-0.13
103.425833|+68.888333|06 53 42.2|+68 53 18| 5.12|-0.13
102.422083|+32.606667|06 49 41.3|+32 36 24| 5.71| 1.29
101.358750|-52.201111|06 45 26.1|-52 12 04| 6.57| 1.08
102.079167| -1.319167|06 48 19.0|-01 19 09| 5.75| 0.28
101.473750|-52.410000|06 45 53.7|-52 24 36| 5.80| 1.53
102.691250|+41.781389|06 50 45.9|+41 46 53| 5.02| 1.27
102.265417| +1.001944|06 49 03.7|+01 00 07| 6.15|-0.13
101.839167|-37.929722|06 47 21.4|-37 55 47| 5.26|-0.08
102.457500|+16.202778|06 49 49.8|+16 12 10| 5.85|-0.13
103.271250|+59.448611|06 53 05.1|+59 26 55| 5.33| 0.65
102.318333| -2.271944|06 49 16.4|-02 16 19| 5.74|-0.10
102.240833|-15.144722|06 48 57.8|-15 08 41| 5.39|-0.10
101.720000|-51.265833|06 46 52.8|-51 15 57| 5.40| 1.34
101.672917|-54.694722|06 46 41.5|-54 41 41| 6.46| 0.86
102.606250|+13.413333|06 50 25.5|+13 24 48| 5.65| 1.34
101.827917|-55.540000|06 47 18.7|-55 32 24| 5.61| 1.52
105.016667|+76.977500|07 00 04.0|+76 58 39| 4.55| 1.36
102.433333|-24.075833|06 49 44.0|-24 04 33| 6.33| 0.04
102.887500|+21.761111|06 51 33.0|+21 45 40| 5.27|-0.02
102.707917| -0.540833|06 50 49.9|-00 32 27| 5.77| 0.39
100.903333|-73.118056|06 43 36.8|-73 07 05| 6.37| 0.96
103.281667|+44.839444|06 53 07.6|+44 50 22| 6.26| 0.21
103.000000|+23.601667|06 52 00.0|+23 36 06| 5.65| 1.45
102.676250| -8.041111|06 50 42.3|-08 02 28| 6.29| 0.00
102.591250|-17.083889|06 50 21.9|-17 05 02| 5.79| 1.44
101.233750|-70.433889|06 44 56.1|-70 26 02| 6.11| 1.33
102.525000|-27.333889|06 50 06.0|-27 20 02| 7.04|-0.18
102.460417|-32.508611|06 49 50.5|-32 30 31| 3.96|-0.23
103.256250|+38.869167|06 53 01.5|+38 52 09| 6.12| 0.37
103.197083|+33.961111|06 52 47.3|+33 57 40| 3.60| 0.10
103.305833|+38.438056|06 53 13.4|+38 26 17| 6.30| 0.49
103.264167|+35.788611|06 53 03.4|+35 47 19| 6.01| 1.45
102.913750| +3.041667|06 51 39.3|+03 02 30| 6.38| 0.04
102.653750|-25.778056|06 50 36.9|-25 46 41| 6.33|-0.18
102.597083|-31.706111|06 50 23.3|-31 42 22| 5.70| 0.14
102.490833|-45.450000|06 49 57.8|-45 27 00| 6.55| 1.51
103.487500|+38.505000|06 53 57.0|+38 30 18| 6.48|-0.05
102.477500|-46.614722|06 49 54.6|-46 36 53| 5.14| 0.45
102.718333|-34.367222|06 50 52.4|-34 22 02| 4.99| 1.38
102.047500|-61.941389|06 48 11.4|-61 56 29| 3.27| 0.21
103.205833| +8.380278|06 52 49.4|+08 22 49| 5.77| 0.26
103.095417| -5.316111|06 52 22.9|-05 18 58| 6.30| 0.99
102.484167|-50.614722|06 49 56.2|-50 36 53| 2.93| 1.20
102.463750|-53.622222|06 49 51.3|-53 37 20| 4.40| 0.92
103.343750|+10.996389|06 53 22.5|+10 59 47| 6.24| 0.97
103.813333|+45.826389|06 55 15.2|+45 49 35| 6.34| 0.94
103.811250|+43.910000|06 55 14.7|+43 54 36| 6.13| 0.32
102.926250|-36.230278|06 51 42.3|-36 13 49| 5.96| 0.18
100.011250|-80.813611|06 40 02.7|-80 48 49| 5.64| 0.20
104.318750|+58.422500|06 57 16.5|+58 25 21| 4.35| 0.85
104.305000|+57.563333|06 57 13.2|+57 33 48| 6.05| 1.49
102.504583|-60.249167|06 50 01.1|-60 14 57| 6.11| 0.46
102.886667|-48.292500|06 51 32.8|-48 17 33| 6.42| 1.21
103.661250|+13.177778|06 54 38.7|+13 10 40| 4.65| 0.30
103.328333|-19.032778|06 53 18.8|-19 01 58| 5.64| 0.28
103.340417|-18.933333|06 53 21.7|-18 56 00| 6.14| 0.15
103.250417|-26.957500|06 53 00.1|-26 57 27| 6.40| 1.53
104.134583|+46.274167|06 56 32.3|+46 16 27| 5.87|-0.06
103.827500|+25.375556|06 55 18.6|+25 22 32| 5.73| 0.57
103.535417| -5.852500|06 54 08.5|-05 51 09| 6.41| 0.17
103.387083|-20.224167|06 53 32.9|-20 13 27| 4.83|-0.21
103.602500| -1.126944|06 54 24.6|-01 07 37| 5.45| 0.18
104.233333|+46.705000|06 56 56.0|+46 42 18| 5.86| 1.08
103.547500|-12.038611|06 54 11.4|-12 02 19| 4.07| 1.43
103.165417|-42.504444|06 52 39.7|-42 30 16| 6.52| 0.42
103.391250|-28.539722|06 53 33.9|-28 32 23| 6.04| 0.71
103.675417| -1.756389|06 54 42.1|-01 45 23| 6.21| 0.56
103.480417|-24.539167|06 53 55.3|-24 32 21| 6.21| 0.01
103.196250|-43.975833|06 52 47.1|-43 58 33| 6.46|-0.10
103.532917|-24.183889|06 54 07.9|-24 11 02| 3.87| 1.73
105.339583|+70.808056|07 01 21.5|+70 48 29| 5.68| 1.33
103.745000| -2.803611|06 54 58.8|-02 48 13| 6.04| 1.10
103.554167|-23.928333|06 54 13.0|-23 55 42| 6.91|-0.28
103.894167| +8.324722|06 55 34.6|+08 19 29| 6.29| 0.04
104.404583|+45.094167|06 57 37.1|+45 05 39| 4.90| 0.03
104.252083|+33.681111|06 57 00.5|+33 40 52| 5.89| 0.88
103.195417|-54.090000|06 52 46.9|-54 05 24| 6.57| 1.08
103.761250|-20.404722|06 55 02.7|-20 24 17| 5.74| 0.08
104.107500| +9.956389|06 56 25.8|+09 57 23| 5.92|-0.08
103.905833|-20.136389|06 55 37.4|-20 08 11| 4.68| 0.37
103.611250|-42.365556|06 54 26.7|-42 21 56| 6.32| 2.24
103.189167|-59.341111|06 52 45.4|-59 20 28| 6.41| 0.18
104.027500|-14.043611|06 56 06.6|-14 02 37| 5.00| 1.18
103.509583|-50.611667|06 54 02.3|-50 36 42| 6.26| 0.99
103.945000|-22.941389|06 55 46.8|-22 56 29| 5.30|-0.18
104.034167|-17.054167|06 56 08.2|-17 03 15| 4.37|-0.07
104.357083|+11.907500|06 57 25.7|+11 54 27| 6.27| 0.34
103.978333|-31.790000|06 55 54.8|-31 47 24| 6.36|
104.250417| -8.178889|06 57 00.1|-08 10 44| 6.34| 0.64
104.761667|+38.052222|06 59 02.8|+38 03 08| 6.00| 1.23
104.697500|+26.081111|06 58 47.4|+26 04 52| 6.10| 0.46
102.862500|-70.963333|06 51 27.0|-70 57 48| 5.40|-0.11
104.311667|-22.203333|06 57 14.8|-22 12 12| 6.61|-0.19
104.190417|-35.341667|06 56 45.7|-35 20 30| 6.29| 1.29
104.866250|+25.914167|06 59 27.9|+25 54 51| 6.40|-0.11
104.662500| +7.621944|06 58 39.0|+07 37 19| 6.27| 0.11
104.391250|-24.630556|06 57 33.9|-24 37 50| 5.46| 0.36
104.066667|-48.721111|06 56 16.0|-48 43 16| 4.95| 1.69
115.127083|+87.020000|07 40 30.5|+87 01 12| 5.07| 1.63
104.737500| +3.602222|06 58 57.0|+03 36 08| 5.97| 1.06
104.426667|-27.537500|06 57 42.4|-27 32 15| 6.23|-0.14
104.323333|-35.507500|06 57 17.6|-35 30 27| 6.23| 0.46
104.833750| +7.316944|06 59 20.1|+07 19 01| 6.35|-0.11
104.531667|-27.164722|06 58 07.6|-27 09 53| 6.37|-0.19
105.065833|+16.078889|07 00 15.8|+16 04 44| 5.68| 1.66
104.649583|-25.413889|06 58 35.9|-25 24 50| 5.59|-0.16
106.465833|+70.731944|07 05 51.8|+70 43 55| 6.50|
104.656250|-28.972222|06 58 37.5|-28 58 20| 1.50|-0.21
104.604583|-34.111667|06 58 25.1|-34 06 42| 5.06|-0.16
105.321667|+32.414444|07 01 17.2|+32 24 52| 6.59| 0.27
104.682500|-30.997778|06 58 43.8|-30 59 52| 6.42|-0.14
105.075000| -5.366944|07 00 18.0|-05 22 01| 6.30| 0.57
104.913750|-21.603333|06 59 39.3|-21 36 12| 6.26|-0.15
105.098750| -8.406944|07 00 23.7|-08 24 25| 5.96|-0.08
105.033750|-20.158889|07 00 08.1|-20 09 32| 6.31|-0.15
104.674167|-45.768056|06 58 41.8|-45 46 05| 6.22| 0.00
105.163750| -9.203056|07 00 39.3|-09 12 11| 6.49| 0.21
105.080417|-22.119444|07 00 19.3|-22 07 10| 6.53|-0.17
105.422500| +4.818056|07 01 41.4|+04 49 05| 6.63| 0.06
105.603333|+24.215278|07 02 24.8|+24 12 55| 5.18| 0.94
105.606250|+17.755556|07 02 25.5|+17 45 20| 5.94| 1.63
105.572500|+15.336111|07 02 17.4|+15 20 10| 5.74|
105.479167| +5.557500|07 01 55.0|+05 33 27| 6.59|-0.02
104.665000|-55.729444|06 58 39.6|-55 43 46| 6.27| 1.16
105.639583|+16.674167|07 02 33.5|+16 40 27| 5.82| 1.68
105.470417| -1.345556|07 01 52.9|-01 20 44| 6.17| 1.28
105.177500|-28.489444|07 00 42.6|-28 29 22| 6.27| 0.45
104.650833|-56.394722|06 58 36.2|-56 23 41| 6.45| 0.39
105.485000| -5.722222|07 01 56.4|-05 43 20| 5.20| 1.68
105.274583|-25.215278|07 01 05.9|-25 12 55| 5.63|-0.17
105.207500|-33.465278|07 00 49.8|-33 27 55| 6.40| 1.05
106.505417|+59.801944|07 06 01.3|+59 48 07| 6.44|
105.876667|+29.337222|07 03 30.4|+29 20 14| 5.93| 0.60
106.415833|+52.758056|07 05 39.8|+52 45 29| 6.12| 0.11
106.287500|+47.775000|07 05 09.0|+47 46 30| 6.38|-0.04
105.429583|-27.934722|07 01 43.1|-27 56 05| 3.47| 1.73
105.824583| +9.138333|07 03 17.9|+09 08 18| 5.97| 0.12
105.728333| -4.239167|07 02 54.8|-04 14 21| 4.99|-0.20
105.908333|+10.951667|07 03 38.0|+10 57 06| 5.13| 1.39
106.027083|+20.570278|07 04 06.5|+20 34 13| 3.79| 0.79
105.965000|+12.594444|07 03 51.6|+12 35 40| 5.98| 1.58
105.214583|-51.402500|07 00 51.5|-51 24 09| 5.14| 1.61
105.756250|-23.833333|07 03 01.5|-23 50 00| 3.02|-0.08
106.084167| +1.488333|07 04 20.2|+01 29 18| 6.57| 0.01
106.021667| -5.323611|07 04 05.2|-05 19 25| 5.62| 1.29
105.988750|-10.124167|07 03 57.3|-10 07 27| 6.45|-0.08
105.939583|-15.633333|07 03 45.5|-15 38 00| 4.12|-0.12
105.565000|-43.404167|07 02 15.6|-43 24 15| 6.43|-0.04
106.326667|+22.637222|07 05 18.4|+22 38 14| 6.02|-0.03
106.548333|+34.473889|07 06 11.6|+34 28 26| 5.55| 0.91
105.271250|-58.940000|07 01 05.1|-58 56 24| 6.02| 0.30
104.960417|-67.916111|06 59 50.5|-67 54 58| 5.17| 1.40
106.412917| +9.185833|07 05 39.1|+09 11 09| 5.78| 1.52
106.196250|-22.032222|07 04 47.1|-22 01 56| 6.09| 1.22
106.842917|+34.009444|07 07 22.3|+34 00 34| 5.91| 1.51
106.011667|-42.337222|07 04 02.8|-42 20 14| 5.20| 0.20
105.988750|-43.608056|07 03 57.3|-43 36 29| 5.54| 0.64
105.995000|-43.611667|07 03 58.8|-43 36 42| 6.79| 0.80
106.854167|+28.177222|07 07 25.0|+28 10 38| 6.48|-0.09
106.457083|-10.661111|07 05 49.7|-10 39 40| 6.49|-0.05
106.839167|+22.703611|07 07 21.4|+22 42 13| 7.68| 2.21
105.973750|-49.583889|07 03 53.7|-49 35 02| 4.93| 0.13
107.055417|+33.832222|07 08 13.3|+33 49 56| 6.28| 1.34
105.815000|-59.178056|07 03 15.6|-59 10 41| 5.50|-0.11
107.151250|+37.445000|07 08 36.3|+37 26 42| 6.16| 1.21
106.776667| +4.910278|07 07 06.4|+04 54 37| 6.11|-0.13
106.383333|-34.777778|07 05 32.0|-34 46 40| 6.14| 0.37
106.669583|-11.294167|07 06 40.7|-11 17 39| 5.39| 0.05
106.649583|-12.393889|07 06 35.9|-12 23 38| 6.48|-0.10
106.502500|-30.655556|07 06 00.6|-30 39 20| 6.34|-0.16
108.492083|+71.816667|07 13 58.1|+71 49 00| 6.35| 1.12
106.956250| +7.471111|07 07 49.5|+07 28 16| 5.75| 1.18
106.076250|-56.749722|07 04 18.3|-56 44 59| 5.17|-0.04
107.091667|+15.930833|07 08 22.0|+15 55 51| 5.44| 1.03
106.509583|-38.382778|07 06 02.3|-38 22 58| 6.11| 0.70
106.717917|-24.960556|07 06 52.3|-24 57 38| 6.08| 1.34
106.318750|-50.360278|07 05 16.5|-50 21 37| 6.46|
106.750417|-26.657778|07 07 00.1|-26 39 28| 6.62|-0.17
104.143333|-79.420278|06 56 34.4|-79 25 13| 5.45| 0.05
106.844167|-23.840278|07 07 22.6|-23 50 25| 5.71|-0.10
106.779583|-40.893333|07 07 07.1|-40 53 36| 5.79|-0.17
107.527917|+21.246944|07 10 06.7|+21 14 49| 6.43| 0.89
107.097917|-26.393333|07 08 23.5|-26 23 36| 1.84| 0.68
107.334583|-10.347222|07 09 20.3|-10 20 50| 6.21| 0.03
107.205417|-24.044167|07 08 49.3|-24 02 39| 6.65|-0.19
107.913750|+39.320556|07 11 39.3|+39 19 14| 4.90| 1.45
107.785000|+30.245278|07 11 08.4|+30 14 43| 4.41| 1.26
106.805417|-51.967778|07 07 13.3|-51 58 04| 5.96| 1.00
107.388333|-16.234722|07 09 33.2|-16 14 05| 6.03| 0.06
107.846250|+26.856667|07 11 23.1|+26 51 24| 5.78| 0.10
107.557083| -4.237222|07 10 13.7|-04 14 14| 4.92| 1.03
107.212917|-39.655833|07 08 51.1|-39 39 21| 4.83|-0.18
108.347500|+51.428889|07 13 23.4|+51 25 44| 5.47| 1.67
107.428750|-25.231111|07 09 42.9|-25 13 52| 5.69|-0.16
107.538750|-18.685278|07 10 09.3|-18 41 07| 6.23| 0.40
108.110000|+24.128333|07 12 26.4|+24 07 42| 5.85| 0.36
107.848333| -0.301944|07 11 23.6|-00 18 07| 5.45| 0.29
107.580833|-27.491389|07 10 19.4|-27 29 29| 5.46| 1.00
111.341250|+81.257500|07 25 21.9|+81 15 27| 6.31|-0.04
107.963750| +5.654722|07 11 51.3|+05 39 17| 6.09|-0.02
108.204167|+27.224722|07 12 49.0|+27 13 29| 6.43| 0.49
106.558750|-68.837222|07 06 14.1|-68 50 14| 6.47| 1.04
108.030833| +5.474722|07 12 07.4|+05 28 29| 6.16| 1.14
107.966250| -0.492778|07 11 51.9|-00 29 34| 4.15|-0.01
108.978750|+59.637500|07 15 54.9|+59 38 15| 5.20| 1.07
107.923333|-20.883056|07 11 41.6|-20 52 59| 5.84|-0.04
108.342917|+16.158889|07 13 22.3|+16 09 32| 5.00| 1.66
108.050833|-25.942500|07 12 12.2|-25 56 33| 5.92|-0.17
107.697917|-48.932222|07 10 47.5|-48 55 56| 5.14| 1.24
108.017083|-30.821667|07 12 04.1|-30 49 18| 6.10| 0.27
108.958750|+47.240000|07 15 50.1|+47 14 24| 5.58| 0.58
108.610833|+24.710833|07 14 26.6|+24 42 39| 6.89|-0.03
108.280000|-11.251389|07 13 07.2|-11 15 05| 5.78| 1.51
108.100417|-27.474167|07 12 24.1|-27 28 27| 6.59| 0.19
108.674583|+24.885000|07 14 41.9|+24 53 06| 5.82| 1.56
108.107083|-36.544444|07 12 25.7|-36 32 40| 5.96|-0.14
108.065833|-40.498889|07 12 15.8|-40 29 56| 5.31| 0.06
108.635833|+12.115833|07 14 32.6|+12 06 57| 5.62| 1.01
108.583333| +3.111389|07 14 20.0|+03 06 41| 5.35| 1.19
108.349583|-22.673333|07 13 23.9|-22 40 24| 6.01| 1.48
108.545833| -3.901389|07 14 11.0|-03 54 05| 5.75| 1.58
108.564583| -9.947500|07 14 15.5|-09 56 51| 5.90| 1.52
108.451250|-22.906389|07 13 48.3|-22 54 23| 6.36|-0.21
108.401250|-27.356389|07 13 36.3|-27 21 23| 6.12|-0.23
107.175833|-70.497222|07 08 42.2|-70 29 50| 5.69| 0.40
107.187083|-70.498889|07 08 44.9|-70 29 56| 3.78| 1.04
109.390417|+52.130833|07 17 33.7|+52 07 51| 5.92| 1.26
108.987917|+27.897500|07 15 57.1|+27 53 51| 5.71| 1.63
108.617500|-10.316667|07 14 28.2|-10 19 00| 6.03|-0.18
108.140000|-46.759444|07 12 33.6|-46 45 34| 4.49| 0.32
108.446250|-31.083889|07 13 47.1|-31 05 02| 6.60|-0.17
112.768333|+82.411389|07 31 04.4|+82 24 41| 4.96| 1.66
108.488333|-30.340000|07 13 57.2|-30 20 24| 6.33|-0.20
108.830417| -0.161389|07 15 19.3|-00 09 41| 6.41| 0.90
108.563333|-26.352500|07 14 15.2|-26 21 09| 4.66|-0.19
108.305833|-45.183056|07 13 13.4|-45 10 59| 4.89|-0.02
108.914167| +7.977778|07 15 39.4|+07 58 40| 5.82| 1.60
108.385000|-44.639722|07 13 32.4|-44 38 23| 5.10| 1.56
108.702917|-26.772778|07 14 48.7|-26 46 22| 3.85|-0.17
108.712917|-27.038056|07 14 51.1|-27 02 17| 5.58| 1.22
109.632917|+49.465000|07 18 31.9|+49 27 54| 5.05| 0.08
108.929583|-10.583889|07 15 43.1|-10 35 02| 5.95| 1.18
109.509167|+40.883333|07 18 02.2|+40 53 00| 5.78| 0.17
108.008333|-63.190000|07 12 02.0|-63 11 24| 6.02|-0.02
108.947917|-23.740556|07 15 47.5|-23 44 26| 6.32|
108.837500|-30.686389|07 15 21.0|-30 41 11| 5.36|-0.17
109.517083|+30.955833|07 18 04.1|+30 57 21| 6.24|-0.03
109.060417|-15.585833|07 16 14.5|-15 35 09| 5.46| 0.08
108.737917|-41.425833|07 14 57.1|-41 25 33| 5.94|-0.16
109.324167| +6.680556|07 17 17.8|+06 40 50| 6.65|-0.11
108.691250|-46.849722|07 14 45.9|-46 50 59| 5.72|-0.11
108.659167|-48.271667|07 14 38.2|-48 16 18| 4.76|-0.10
109.523333|+16.540278|07 18 05.6|+16 32 25| 3.58| 0.11
109.153333|-23.315556|07 16 36.8|-23 18 56| 4.79| 1.71
109.382083| -6.680000|07 17 31.7|-06 40 48| 6.29| 1.62
109.145833|-27.881111|07 16 35.0|-27 52 52| 4.64| 1.60
108.837500|-52.499722|07 15 21.0|-52 29 59| 5.97| 1.10
109.238333|-30.896667|07 16 57.2|-30 53 48| 6.32| 0.20
109.132500|-38.318889|07 16 31.8|-38 19 08| 5.80|-0.13
109.206250|-36.592778|07 16 49.5|-36 35 34| 5.03|-0.17
109.064583|-46.774444|07 16 15.5|-46 46 28| 5.66| 1.44
110.571667|+59.901944|07 22 17.2|+59 54 07| 6.35|
109.285833|-37.097500|07 17 08.6|-37 05 51| 2.70| 1.62
109.449583|-26.797500|07 17 47.9|-26 47 51| 6.46|-0.15
110.262917|+42.655556|07 21 03.1|+42 39 20| 6.35| 1.46
110.322917|+45.228056|07 21 17.5|+45 13 41| 5.77| 0.32
110.030833|+21.982222|07 20 07.4|+21 58 56| 3.53| 0.34
109.843333| +2.740556|07 19 22.4|+02 44 26| 5.89| 1.07
109.948333| +7.142778|07 19 47.6|+07 08 34| 5.91| 0.53
110.028750|+15.142778|07 20 06.9|+15 08 34| 6.45|-0.02
109.667917|-24.558889|07 18 40.3|-24 33 32| 4.98|-0.15
109.676667|-24.954167|07 18 42.4|-24 57 15| 4.40|-0.15
110.712083|+55.284444|07 22 50.9|+55 17 04| 6.53|
110.717083|+55.281389|07 22 52.1|+55 16 53| 5.45|
109.758333|-19.280278|07 19 02.0|-19 16 49| 6.09| 0.62
109.713333|-26.585833|07 18 51.2|-26 35 09| 5.28| 0.96
109.576667|-36.734167|07 18 18.4|-36 44 03| 4.66|-0.10
109.867083|-16.395000|07 19 28.1|-16 23 42| 5.70| 0.35
109.517500|-43.986667|07 18 04.2|-43 59 12| 5.85|-0.12
109.659167|-36.742778|07 18 38.2|-36 44 34| 5.11|-0.16
109.640000|-39.210278|07 18 33.6|-39 12 37| 5.25| 0.01
110.555833|+38.996111|07 22 13.4|+38 59 46| 6.40| 1.22
110.510833|+36.760556|07 22 02.6|+36 45 38| 5.13| 1.08
109.807083|-33.727222|07 19 13.7|-33 43 38| 6.30| 1.31
110.486667|+20.443611|07 21 56.8|+20 26 37| 5.10| 1.52
